SUSQUEHANNA VALLEY CENTRAL SCHOOL DISTRICT,2012-2013,39,0.18,46,0.21,85,0.39,MIDDLE/HIGH,1040 CONKLIN RD,CONKLIN,NY,13748
CHENANGO VALLEY CENTRAL SCHOOL DISTRICT,2012-2013,88,0.15,114,0.20,202,0.35,DISTRICT TOTAL,221 CHENANGO BRIDGE RD,BINGHAMTON,NY,13901
CHENANGO VALLEY CENTRAL SCHOOL DISTRICT,2012-2013,46,0.14,56,0.17,102,0.31,ELEMENTARY,221 CHENANGO BRIDGE RD,BINGHAMTON,NY,13901
CHENANGO VALLEY CENTRAL SCHOOL DISTRICT,2012-2013,42,0.17,58,0.24,100,0.41,MIDDLE/HIGH,221 CHENANGO BRIDGE RD,BINGHAMTON,NY,13901
WINDSOR CENTRAL SCHOOL DISTRICT,2012-2013,98,0.15,126,0.20,224,0.35,DISTRICT TOTAL,1191 NY RT 79,WINDSOR,NY,13865
WINDSOR CENTRAL SCHOOL DISTRICT,2012-2013,54,0.14,65,0.17,119,0.31,ELEMENTARY,1191 NY RT 79,WINDSOR,NY,13865
WINDSOR CENTRAL SCHOOL DISTRICT,2012-2013,44,0.18,61,0.24,105,0.42,MIDDLE/HIGH,1191 NY RT 79,WINDSOR,NY,13865
ALLEGANY-LIMESTONE CSD,2012-2013,94,0.17,91,0.16,185,0.33,DISTRICT TOTAL,3131 FIVE MILE RD,ALLEGANY,NY,14706
ALLEGANY-LIMESTONE CSD,2012-2013,69,0.17,56,0.14,125,0.32,ELEMENTARY,3131 FIVE MILE RD,ALLEGANY,NY,14706
ALLEGANY-LIMESTONE CSD,2012-2013,25,0.15,35,0.22,60,0.37,MIDDLE/HIGH,3131 FIVE MILE RD,ALLEGANY,NY,14706
ELLICOTTVILLE CENTRAL SCHOOL DISTRICT,2012-2013,49,0.21,40,0.17,89,0.39,DISTRICT TOTAL,5873 RT 219,ELLICOTTVILLE,NY,14731
ELLICOTTVILLE CENTRAL SCHOOL DISTRICT,2012-2013,30,0.20,23,0.16,53,0.36,ELEMENTARY,5873 RT 219,ELLICOTTVILLE,NY,14731
ELLICOTTVILLE CENTRAL SCHOOL DISTRICT,2012-2013,15,0.20,15,0.20,30,0.39,MIDDLE/HIGH,5873 RT 219,ELLICOTTVILLE,NY,14731
HINSDALE CENTRAL SCHOOL DISTRICT,2012-2013,38,0.20,33,0.17,71,0.36,DISTRICT TOTAL,3701 MAIN ST,HINSDALE,NY,14743
HINSDALE CENTRAL SCHOOL DISTRICT,2012-2013,24,0.17,19,0.14,43,0.31,ELEMENTARY,3701 MAIN ST,HINSDALE,NY,14743
HINSDALE CENTRAL SCHOOL DISTRICT,2012-2013,10,0.22,14,0.30,24,0.52,MIDDLE/HIGH,3701 MAIN ST,HINSDALE,NY,14743
OLEAN CITY SCHOOLS,2012-2013,153,0.20,154,0.20,307,0.39,DISTRICT TOTAL,410 W SULLIVAN ST,OLEAN,NY,14760
OLEAN CITY SCHOOLS,2012-2013,87,0.19,85,0.19,172,0.38,ELEMENTARY,410 W SULLIVAN ST,OLEAN,NY,14760
